timestamp,package_id,rfid_tag,location,shipping_status,customs_status,estimated_delivery,temperature_celsius
2025-05-26 22:03:45.214881,PKG1732,RFID-569091,Pasig City Hub,Out for delivery,N/A,2025-05-31,22.9
2025-05-27 11:03:45.214889,PKG9776,RFID-890180,Pasig City Hub,Out for delivery,N/A,2025-05-29,22.3
2025-05-28 11:03:45.214897,PKG2611,RFID-961548,Shanghai Customs,Cleared customs,Cleared,2025-05-29,24.2
2025-05-28 13:03:45.214906,PKG2462,RFID-204552,Shanghai Customs,Cleared customs,Cleared,2025-06-02,21.5
2025-05-28 14:03:45.214914,PKG2684,RFID-438964,Pasig City,Delivered,N/A,2025-06-02,24.0
2025-05-29 09:03:45.214923,PKG5749,RFID-767077,Shanghai Customs,Cleared customs,Cleared,2025-05-31,27.0
2025-05-28 03:03:45.214930,PKG1084,RFID-550608,PH Customs,Under customs inspection,Pending,2025-05-29,17.5
2025-05-26 14:03:45.214938,PKG6616,RFID-366105,"NAIA, Manila",Arrived in destination country,N/A,2025-05-29,19.6
2025-05-25 20:03:45.214945,PKG3063,RFID-242011,Pasig City,Delivered,N/A,2025-05-26,29.0
2025-05-28 15:03:45.214953,PKG8394,RFID-172046,PH Customs,Cleared customs,Cleared,2025-05-30,16.5
2025-05-29 00:03:45.214961,PKG9051,RFID-133259,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,19.6
2025-05-31 10:03:45.214969,PKG1867,RFID-642174,Shanghai Customs,Cleared customs,Cleared,2025-06-01,24.8
2025-05-30 04:03:45.214977,PKG3026,RFID-405130,"Shenzhen, China",Package received,N/A,2025-06-03,22.3
2025-05-31 09:03:45.214984,PKG6010,RFID-414594,PH Customs,Under customs inspection,Pending,2025-06-01,27.0
2025-05-29 10:03:45.214992,PKG8313,RFID-576949,Shanghai Customs,Cleared customs,Cleared,2025-06-02,22.9
2025-05-30 23:03:45.214999,PKG1175,RFID-979931,Shanghai Customs,Cleared customs,Cleared,2025-06-03,27.7
2025-05-31 15:03:45.215007,PKG2516,RFID-312056,"NAIA, Manila",Arrived in destination country,N/A,2025-06-03,27.2
2025-05-30 23:03:45.215014,PKG4022,RFID-767059,In Transit - Air,Flight en route to PH,N/A,2025-05-31,19.2
2025-05-27 15:03:45.215022,PKG5318,RFID-342983,"Shenzhen, China",Package received,N/A,2025-05-28,23.6
2025-05-28 09:03:45.215029,PKG9510,RFID-532616,PH Customs,Under customs inspection,Pending,2025-06-02,27.8
2025-05-30 02:03:45.215057,PKG7958,RFID-152415,PH Customs,Under customs inspection,Pending,2025-05-31,28.4
2025-05-30 16:03:45.215070,PKG2361,RFID-832674,Pasig City Hub,Out for delivery,N/A,2025-06-02,24.5
2025-05-28 05:03:45.215079,PKG5720,RFID-212353,"Shanghai, China",Departed from origin facility,N/A,2025-05-29,20.0
2025-05-28 09:03:45.215086,PKG5628,RFID-711697,PH Customs,Under customs inspection,Pending,2025-05-29,23.0
2025-05-30 16:03:45.215094,PKG1289,RFID-130524,"Shanghai, China",Departed from origin facility,N/A,2025-06-03,20.3
2025-05-31 14:03:45.215102,PKG9864,RFID-492185,Shanghai Customs,Cleared customs,Cleared,2025-06-05,17.9
2025-05-28 14:03:45.215109,PKG8328,RFID-304815,"Shanghai, China",Departed from origin facility,N/A,2025-06-01,24.9
2025-05-29 13:03:45.215122,PKG8789,RFID-466428,"Shenzhen, China",Package received,N/A,2025-06-02,22.9
2025-05-27 00:03:45.215130,PKG9111,RFID-765215,PH Customs,Under customs inspection,Pending,2025-05-29,22.8
2025-05-27 21:03:45.215138,PKG3690,RFID-548091,"Shenzhen, China",Package received,N/A,2025-05-28,21.9
2025-05-31 12:03:45.215146,PKG8282,RFID-858510,PH Customs,Under customs inspection,Pending,2025-06-05,18.9
2025-05-30 15:03:45.215154,PKG7171,RFID-299879,"Shanghai, China",Departed from origin facility,N/A,2025-06-04,17.6
2025-05-26 22:03:45.215162,PKG2968,RFID-841591,"Shenzhen, China",Package received,N/A,2025-05-29,15.6
2025-05-27 20:03:45.215169,PKG1159,RFID-877335,In Transit - Air,Flight en route to PH,N/A,2025-05-28,19.7
2025-05-28 11:03:45.215177,PKG9182,RFID-697446,"NAIA, Manila",Arrived in destination country,N/A,2025-06-02,23.3
2025-05-28 13:03:45.215185,PKG6765,RFID-334302,Pasig City Hub,Out for delivery,N/A,2025-05-31,15.0
2025-05-26 04:03:45.215192,PKG4868,RFID-476713,Pasig City,Delivered,N/A,2025-05-31,29.2
2025-05-26 01:03:45.215201,PKG4841,RFID-115592,Pasig City,Delivered,N/A,2025-05-28,21.0
2025-05-27 06:03:45.215208,PKG5918,RFID-240190,PH Customs,Cleared customs,Cleared,2025-06-01,21.3
2025-05-31 05:03:45.215216,PKG7620,RFID-689313,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,20.9
2025-05-27 01:03:45.215225,PKG4392,RFID-827460,Pasig City,Delivered,N/A,2025-05-28,23.2
2025-05-28 21:03:45.215232,PKG7593,RFID-455492,"Shenzhen, China",Package received,N/A,2025-05-30,24.7
2025-05-29 19:03:45.215240,PKG7362,RFID-334098,PH Customs,Under customs inspection,Pending,2025-06-03,23.5
2025-05-29 07:03:45.215247,PKG6040,RFID-738302,Shanghai Customs,Cleared customs,Cleared,2025-06-01,15.7
2025-05-29 08:03:45.215255,PKG4626,RFID-579039,PH Customs,Under customs inspection,Pending,2025-06-03,21.0
2025-05-26 19:03:45.215262,PKG1280,RFID-471651,In Transit - Air,Flight en route to PH,N/A,2025-05-27,22.1
2025-05-28 12:03:45.215270,PKG3624,RFID-280006,In Transit - Air,Flight en route to PH,N/A,2025-05-31,18.5
2025-05-30 16:03:45.215277,PKG6687,RFID-471407,Pasig City Hub,Out for delivery,N/A,2025-06-04,19.9
2025-05-30 04:03:45.215285,PKG6277,RFID-435015,Pasig City,Delivered,N/A,2025-06-04,20.9
2025-05-29 21:03:45.215293,PKG9642,RFID-935511,PH Customs,Cleared customs,Cleared,2025-05-30,19.7
2025-05-26 20:03:45.215300,PKG3933,RFID-733015,Pasig City,Delivered,N/A,2025-05-27,21.4
2025-05-28 11:03:45.215308,PKG1700,RFID-993385,Shanghai Customs,Cleared customs,Cleared,2025-05-30,20.5
2025-05-30 23:03:45.215315,PKG6491,RFID-421673,PH Customs,Under customs inspection,Pending,2025-06-03,24.7
2025-05-25 20:03:45.215323,PKG3562,RFID-392512,Shanghai Customs,Cleared customs,Cleared,2025-05-28,20.1
2025-05-30 03:03:45.215331,PKG6657,RFID-928809,PH Customs,Cleared customs,Cleared,2025-06-04,16.7
2025-05-28 11:03:45.215338,PKG4117,RFID-425129,"NAIA, Manila",Arrived in destination country,N/A,2025-05-30,16.8
2025-05-29 23:03:45.215345,PKG1048,RFID-812777,PH Customs,Under customs inspection,Pending,2025-06-02,23.7
2025-05-30 21:03:45.215353,PKG3109,RFID-153353,"Shanghai, China",Departed from origin facility,N/A,2025-06-03,21.4
2025-05-30 23:03:45.215360,PKG2390,RFID-226389,Shanghai Customs,Cleared customs,Cleared,2025-05-31,15.3
2025-05-25 19:03:45.215368,PKG1641,RFID-545730,PH Customs,Cleared customs,Cleared,2025-05-28,21.6
2025-05-25 20:03:45.215377,PKG8308,RFID-360270,Shanghai Customs,Cleared customs,Cleared,2025-05-27,20.5
2025-05-29 20:03:45.215386,PKG4307,RFID-878023,PH Customs,Cleared customs,Cleared,2025-05-31,23.2
2025-05-30 11:03:45.215393,PKG6915,RFID-811839,"Shenzhen, China",Package received,N/A,2025-06-02,20.7
2025-05-29 15:03:45.215400,PKG9487,RFID-853761,PH Customs,Cleared customs,Cleared,2025-06-01,25.1
2025-05-27 07:03:45.215407,PKG2710,RFID-387059,In Transit - Air,Flight en route to PH,N/A,2025-05-29,17.5
2025-05-26 10:03:45.215414,PKG1138,RFID-197413,Pasig City Hub,Out for delivery,N/A,2025-05-27,30.0
2025-05-25 22:03:45.215422,PKG9422,RFID-360454,"Shenzhen, China",Package received,N/A,2025-05-26,28.5
2025-05-27 09:03:45.215430,PKG4724,RFID-334732,"Shenzhen, China",Package received,N/A,2025-05-29,20.4
2025-05-27 04:03:45.215437,PKG6554,RFID-401308,"Shenzhen, China",Package received,N/A,2025-05-30,28.1
2025-05-26 12:03:45.215444,PKG9140,RFID-688285,"Shanghai, China",Departed from origin facility,N/A,2025-05-28,20.0
2025-05-27 04:03:45.215452,PKG3627,RFID-894680,"Shanghai, China",Departed from origin facility,N/A,2025-06-01,24.5
2025-05-27 10:03:45.215461,PKG8379,RFID-763445,Pasig City Hub,Out for delivery,N/A,2025-05-30,28.0
2025-05-26 23:03:45.215468,PKG7784,RFID-130820,In Transit - Air,Flight en route to PH,N/A,2025-05-29,18.5
2025-05-25 23:03:45.215476,PKG8551,RFID-758265,PH Customs,Under customs inspection,Pending,2025-05-30,17.3
2025-05-28 04:03:45.215483,PKG7007,RFID-771149,PH Customs,Under customs inspection,Pending,2025-05-29,15.5
2025-05-30 16:03:45.215490,PKG7363,RFID-441063,Shanghai Customs,Cleared customs,Cleared,2025-06-01,22.3
2025-05-29 18:03:45.215498,PKG5345,RFID-327877,Pasig City Hub,Out for delivery,N/A,2025-06-01,26.8
2025-05-26 03:03:45.215505,PKG6045,RFID-364247,"Shenzhen, China",Package received,N/A,2025-05-27,24.0
2025-05-28 20:03:45.215512,PKG2966,RFID-444801,In Transit - Air,Flight en route to PH,N/A,2025-05-30,24.3
2025-05-27 05:03:45.215520,PKG7757,RFID-123266,Pasig City Hub,Out for delivery,N/A,2025-05-29,28.8
2025-05-30 15:03:45.215527,PKG3345,RFID-678533,Pasig City Hub,Out for delivery,N/A,2025-06-04,23.0
2025-05-29 01:03:45.215534,PKG1114,RFID-776135,"NAIA, Manila",Arrived in destination country,N/A,2025-05-30,16.8
2025-05-31 13:03:45.215542,PKG9822,RFID-980506,"NAIA, Manila",Arrived in destination country,N/A,2025-06-03,18.4
2025-05-27 09:03:45.215549,PKG8821,RFID-339652,"Shanghai, China",Departed from origin facility,N/A,2025-05-30,19.1
2025-05-26 08:03:45.215556,PKG8843,RFID-703177,PH Customs,Cleared customs,Cleared,2025-05-30,26.4
2025-05-27 21:03:45.215563,PKG2066,RFID-102807,Shanghai Customs,Cleared customs,Cleared,2025-05-28,28.0
2025-05-26 06:03:45.215571,PKG3934,RFID-910103,"Shenzhen, China",Package received,N/A,2025-05-29,15.6
2025-05-28 09:03:45.215578,PKG7646,RFID-244544,"Shenzhen, China",Package received,N/A,2025-06-02,26.7
2025-05-29 08:03:45.215585,PKG8487,RFID-777252,"NAIA, Manila",Arrived in destination country,N/A,2025-05-30,17.1
2025-05-25 21:03:45.215592,PKG7192,RFID-185364,Pasig City Hub,Out for delivery,N/A,2025-05-28,30.0
2025-05-31 08:03:45.215599,PKG8093,RFID-257165,In Transit - Air,Flight en route to PH,N/A,2025-06-05,23.3
2025-05-27 13:03:45.215606,PKG6325,RFID-755889,Pasig City,Delivered,N/A,2025-05-29,21.7
2025-05-27 16:03:45.215613,PKG7656,RFID-506061,PH Customs,Under customs inspection,Pending,2025-05-31,16.8
2025-05-29 06:03:45.215622,PKG8499,RFID-334630,PH Customs,Cleared customs,Cleared,2025-06-03,25.3
2025-05-28 14:03:45.215629,PKG6184,RFID-663197,"NAIA, Manila",Arrived in destination country,N/A,2025-05-31,18.8
2025-05-28 18:03:45.215636,PKG7725,RFID-402058,Shanghai Customs,Cleared customs,Cleared,2025-05-31,26.9
2025-05-30 07:03:45.215643,PKG6783,RFID-785613,Shanghai Customs,Cleared customs,Cleared,2025-06-04,25.9
2025-05-25 23:03:45.215656,PKG3374,RFID-634232,"NAIA, Manila",Arrived in destination country,N/A,2025-05-30,22.1
2025-05-27 06:03:45.215663,PKG1174,RFID-376364,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,26.6
2025-05-29 14:03:45.215671,PKG3688,RFID-970309,Pasig City Hub,Out for delivery,N/A,2025-06-03,16.7
2025-05-29 01:03:45.215679,PKG5352,RFID-622788,Pasig City,Delivered,N/A,2025-06-01,23.9
2025-05-29 06:03:45.215687,PKG8172,RFID-606486,"Shanghai, China",Departed from origin facility,N/A,2025-05-30,17.6
2025-05-26 11:03:45.215694,PKG2101,RFID-955972,PH Customs,Under customs inspection,Pending,2025-05-31,18.9
2025-05-26 17:03:45.215701,PKG7658,RFID-762052,"NAIA, Manila",Arrived in destination country,N/A,2025-05-27,26.7
2025-05-29 22:03:45.215709,PKG9754,RFID-243309,In Transit - Air,Flight en route to PH,N/A,2025-06-01,22.3
2025-05-31 13:03:45.215716,PKG8125,RFID-864993,In Transit - Air,Flight en route to PH,N/A,2025-06-03,22.6
2025-05-29 20:03:45.215723,PKG5094,RFID-312278,"Shenzhen, China",Package received,N/A,2025-06-03,26.0
2025-05-27 21:03:45.215730,PKG2580,RFID-131984,PH Customs,Under customs inspection,Pending,2025-06-01,24.8
2025-05-30 10:03:45.215738,PKG1647,RFID-709331,PH Customs,Under customs inspection,Pending,2025-05-31,27.0
2025-05-29 04:03:45.215745,PKG2677,RFID-267307,"Shanghai, China",Departed from origin facility,N/A,2025-06-02,29.7
2025-05-30 09:03:45.215752,PKG6213,RFID-568295,Pasig City,Delivered,N/A,2025-06-04,22.6
2025-05-29 09:03:45.215760,PKG7162,RFID-137358,PH Customs,Under customs inspection,Pending,2025-05-30,16.8
2025-05-31 14:03:45.215767,PKG6650,RFID-710096,PH Customs,Cleared customs,Cleared,2025-06-01,23.4
2025-05-26 01:03:45.215774,PKG7274,RFID-982421,Shanghai Customs,Cleared customs,Cleared,2025-05-28,25.2
2025-05-30 22:03:45.215782,PKG7168,RFID-512908,Pasig City Hub,Out for delivery,N/A,2025-06-02,17.3
2025-05-27 18:03:45.215790,PKG7975,RFID-368560,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,21.7
2025-05-31 00:03:45.215799,PKG8897,RFID-245644,"Shanghai, China",Departed from origin facility,N/A,2025-06-01,23.9
2025-05-26 05:03:45.215807,PKG3293,RFID-658594,PH Customs,Cleared customs,Cleared,2025-05-30,27.5
2025-05-30 18:03:45.215814,PKG9337,RFID-824519,Pasig City Hub,Out for delivery,N/A,2025-06-03,15.9
2025-05-29 06:03:45.215821,PKG3055,RFID-535498,"Shanghai, China",Departed from origin facility,N/A,2025-06-02,19.3
2025-05-29 17:03:45.215828,PKG5990,RFID-639363,"Shenzhen, China",Package received,N/A,2025-05-31,23.0
2025-05-26 23:03:45.215835,PKG6842,RFID-245524,Shanghai Customs,Cleared customs,Cleared,2025-05-29,16.4
2025-05-27 23:03:45.215843,PKG8465,RFID-873792,Pasig City Hub,Out for delivery,N/A,2025-05-30,25.6
2025-05-26 18:03:45.215850,PKG7834,RFID-105339,Pasig City,Delivered,N/A,2025-05-31,28.0
2025-05-27 04:03:45.215857,PKG2393,RFID-479337,"NAIA, Manila",Arrived in destination country,N/A,2025-05-31,28.8
2025-05-27 23:03:45.215864,PKG4262,RFID-696008,PH Customs,Under customs inspection,Pending,2025-06-01,28.5
2025-05-26 04:03:45.215872,PKG8139,RFID-374940,"Shanghai, China",Departed from origin facility,N/A,2025-05-30,26.6
2025-05-26 07:03:45.215879,PKG9521,RFID-739543,"Shanghai, China",Departed from origin facility,N/A,2025-05-28,26.6
2025-05-26 07:03:45.215887,PKG4299,RFID-210932,Shanghai Customs,Cleared customs,Cleared,2025-05-27,28.6
2025-05-25 22:03:45.215898,PKG9680,RFID-420389,Pasig City Hub,Out for delivery,N/A,2025-05-30,21.5
2025-05-26 23:03:45.215907,PKG2485,RFID-642015,Shanghai Customs,Cleared customs,Cleared,2025-05-28,16.9
2025-05-31 05:03:45.215914,PKG4427,RFID-469609,"NAIA, Manila",Arrived in destination country,N/A,2025-06-04,21.3
2025-05-28 12:03:45.215921,PKG3069,RFID-221671,Pasig City,Delivered,N/A,2025-05-29,22.4
2025-05-31 14:03:45.215929,PKG8886,RFID-938035,"NAIA, Manila",Arrived in destination country,N/A,2025-06-04,24.4
2025-05-28 03:03:45.215936,PKG3235,RFID-814800,"Shenzhen, China",Package received,N/A,2025-06-01,26.0
2025-05-27 01:03:45.215944,PKG3997,RFID-186262,PH Customs,Under customs inspection,Pending,2025-05-31,25.7
2025-05-30 06:03:45.215951,PKG7315,RFID-794997,"Shenzhen, China",Package received,N/A,2025-05-31,28.2
2025-05-31 14:03:45.215958,PKG9782,RFID-711932,Pasig City,Delivered,N/A,2025-06-01,16.3
2025-05-28 11:03:45.215965,PKG9090,RFID-791378,Shanghai Customs,Cleared customs,Cleared,2025-05-29,24.6
2025-05-29 18:03:45.215973,PKG8274,RFID-249211,"Shanghai, China",Departed from origin facility,N/A,2025-06-03,15.2
2025-05-31 08:03:45.215980,PKG6038,RFID-105009,PH Customs,Cleared customs,Cleared,2025-06-03,28.1
2025-05-26 03:03:45.215987,PKG8782,RFID-157789,Pasig City Hub,Out for delivery,N/A,2025-05-30,17.4
2025-05-31 01:03:45.215995,PKG8064,RFID-534756,PH Customs,Under customs inspection,Pending,2025-06-04,26.0
2025-05-28 16:03:45.216002,PKG3877,RFID-197660,In Transit - Air,Flight en route to PH,N/A,2025-05-31,25.8
2025-05-29 09:03:45.216010,PKG4614,RFID-627295,"Shenzhen, China",Package received,N/A,2025-06-01,22.3
2025-05-30 22:03:45.216017,PKG4018,RFID-485713,Pasig City,Delivered,N/A,2025-06-04,24.1
2025-05-26 11:03:45.216024,PKG9922,RFID-425723,PH Customs,Under customs inspection,Pending,2025-05-30,20.1
2025-05-26 12:03:45.216044,PKG3002,RFID-262840,"NAIA, Manila",Arrived in destination country,N/A,2025-05-27,23.1
2025-05-30 14:03:45.216057,PKG1208,RFID-492838,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,22.1
2025-05-26 08:03:45.216067,PKG6220,RFID-515031,Pasig City Hub,Out for delivery,N/A,2025-05-31,26.4
2025-05-30 04:03:45.216075,PKG1120,RFID-370707,"NAIA, Manila",Arrived in destination country,N/A,2025-06-01,22.4
2025-05-31 17:03:45.216081,PKG7695,RFID-984533,"Shanghai, China",Departed from origin facility,N/A,2025-06-04,20.2
2025-05-29 08:03:45.216089,PKG7801,RFID-471398,PH Customs,Under customs inspection,Pending,2025-05-30,27.7
2025-05-27 07:03:45.216096,PKG1173,RFID-604034,PH Customs,Cleared customs,Cleared,2025-06-01,29.5
2025-05-27 08:03:45.216103,PKG3010,RFID-285246,PH Customs,Under customs inspection,Pending,2025-05-30,28.8
2025-05-27 02:03:45.216110,PKG3307,RFID-809517,"NAIA, Manila",Arrived in destination country,N/A,2025-05-28,15.9
2025-05-26 14:03:45.216118,PKG6193,RFID-692064,"Shanghai, China",Departed from origin facility,N/A,2025-05-30,21.0
2025-05-28 03:03:45.216131,PKG5809,RFID-590877,Pasig City,Delivered,N/A,2025-05-29,21.1
2025-05-30 21:03:45.216141,PKG9649,RFID-625735,PH Customs,Cleared customs,Cleared,2025-06-03,25.3
2025-05-28 15:03:45.216149,PKG4919,RFID-386778,"Shanghai, China",Departed from origin facility,N/A,2025-05-29,24.8
2025-05-31 02:03:45.216157,PKG1957,RFID-802045,Shanghai Customs,Cleared customs,Cleared,2025-06-03,25.9
2025-05-29 15:03:45.216165,PKG8257,RFID-335464,Shanghai Customs,Cleared customs,Cleared,2025-05-30,27.2
2025-05-31 08:03:45.216173,PKG3716,RFID-536010,PH Customs,Under customs inspection,Pending,2025-06-01,15.8
2025-05-29 18:03:45.216180,PKG5672,RFID-977028,"NAIA, Manila",Arrived in destination country,N/A,2025-05-31,22.9
2025-05-25 22:03:45.216188,PKG7769,RFID-100541,Shanghai Customs,Cleared customs,Cleared,2025-05-29,20.2
2025-05-26 06:03:45.216195,PKG4739,RFID-809363,"Shanghai, China",Departed from origin facility,N/A,2025-05-31,22.7
2025-05-29 19:03:45.216203,PKG2055,RFID-804879,Shanghai Customs,Cleared customs,Cleared,2025-06-03,28.5
2025-05-26 05:03:45.216210,PKG3373,RFID-552965,"Shanghai, China",Departed from origin facility,N/A,2025-05-28,23.4
2025-05-27 23:03:45.216217,PKG9064,RFID-527899,In Transit - Air,Flight en route to PH,N/A,2025-05-30,18.9
2025-05-26 19:03:45.216226,PKG1370,RFID-167751,Shanghai Customs,Cleared customs,Cleared,2025-05-30,15.6
2025-05-30 14:03:45.216234,PKG4917,RFID-945818,"Shanghai, China",Departed from origin facility,N/A,2025-06-03,27.6
2025-05-26 06:03:45.216243,PKG8262,RFID-579641,In Transit - Air,Flight en route to PH,N/A,2025-05-30,15.9
2025-05-26 14:03:45.216251,PKG7019,RFID-691589,Pasig City Hub,Out for delivery,N/A,2025-05-27,26.4
2025-05-28 17:03:45.216259,PKG7943,RFID-354492,Shanghai Customs,Cleared customs,Cleared,2025-06-02,21.7
2025-05-29 20:03:45.216268,PKG8129,RFID-885854,Shanghai Customs,Cleared customs,Cleared,2025-06-02,16.3
2025-05-28 23:03:45.216276,PKG2345,RFID-227528,Pasig City Hub,Out for delivery,N/A,2025-05-29,24.8
2025-05-31 15:03:45.216284,PKG1158,RFID-646553,PH Customs,Under customs inspection,Pending,2025-06-05,21.1
2025-05-30 20:03:45.216295,PKG1302,RFID-688204,PH Customs,Cleared customs,Cleared,2025-06-03,20.0
2025-05-28 02:03:45.216303,PKG4558,RFID-423139,Pasig City,Delivered,N/A,2025-05-29,15.5
2025-05-29 19:03:45.216311,PKG1703,RFID-975169,Pasig City Hub,Out for delivery,N/A,2025-06-03,22.0
2025-05-31 18:03:45.216318,PKG5706,RFID-701220,Pasig City,Delivered,N/A,2025-06-02,24.1
2025-05-26 00:03:45.216326,PKG1036,RFID-679850,"Shanghai, China",Departed from origin facility,N/A,2025-05-31,23.8
2025-05-29 13:03:45.216333,PKG2306,RFID-857867,PH Customs,Cleared customs,Cleared,2025-06-01,28.8
2025-05-25 20:03:45.216341,PKG5995,RFID-157499,"Shanghai, China",Departed from origin facility,N/A,2025-05-29,25.6
2025-05-27 20:03:45.216348,PKG2878,RFID-554866,"NAIA, Manila",Arrived in destination country,N/A,2025-05-30,29.1
2025-05-27 06:03:45.216357,PKG2927,RFID-720382,PH Customs,Cleared customs,Cleared,2025-05-31,26.7
2025-05-26 19:03:45.216364,PKG2137,RFID-615073,"Shanghai, China",Departed from origin facility,N/A,2025-05-31,22.6
2025-05-29 07:03:45.216371,PKG8516,RFID-959860,Pasig City,Delivered,N/A,2025-06-02,21.5
2025-05-30 13:03:45.216378,PKG4504,RFID-627206,"Shenzhen, China",Package received,N/A,2025-06-04,25.0
2025-05-28 11:03:45.216788,PKG9052,RFID-477704,"Shanghai, China",Departed from origin facility,N/A,2025-05-29,20.1
2025-05-26 14:03:45.216798,PKG6210,RFID-380450,Pasig City,Delivered,N/A,2025-05-30,26.2
2025-05-30 18:03:45.216807,PKG4088,RFID-285301,"NAIA, Manila",Arrived in destination country,N/A,2025-06-04,25.7
2025-05-30 19:03:45.216815,PKG6888,RFID-354356,"NAIA, Manila",Arrived in destination country,N/A,2025-06-02,18.7
2025-05-28 14:03:45.216822,PKG2283,RFID-987525,"Shanghai, China",Departed from origin facility,N/A,2025-05-29,19.5
2025-05-26 02:03:45.216830,PKG9963,RFID-252125,Pasig City Hub,Out for delivery,N/A,2025-05-31,20.2
2025-05-26 11:03:45.216837,PKG3283,RFID-314334,Shanghai Customs,Cleared customs,Cleared,2025-05-30,18.2
2025-05-30 06:03:45.216845,PKG8332,RFID-975710,"Shenzhen, China",Package received,N/A,2025-06-04,21.8
2025-05-30 19:03:45.216852,PKG9681,RFID-377417,"Shenzhen, China",Package received,N/A,2025-06-03,20.0
2025-05-27 23:03:45.216861,PKG5326,RFID-715292,PH Customs,Cleared customs,Cleared,2025-05-29,27.2
2025-05-26 07:03:45.216869,PKG6423,RFID-574602,Shanghai Customs,Cleared customs,Cleared,2025-05-30,16.1
2025-05-28 05:03:45.216876,PKG1152,RFID-743697,Shanghai Customs,Cleared customs,Cleared,2025-05-29,29.8
2025-05-29 17:03:45.216884,PKG1855,RFID-947198,PH Customs,Under customs inspection,Pending,2025-06-03,23.9
2025-05-28 20:03:45.216891,PKG9840,RFID-302127,"Shenzhen, China",Package received,N/A,2025-05-30,23.1
2025-05-26 17:03:45.216901,PKG7644,RFID-982108,PH Customs,Cleared customs,Cleared,2025-05-28,17.1
2025-05-28 23:03:45.216909,PKG2001,RFID-272757,Pasig City Hub,Out for delivery,N/A,2025-05-31,20.7
2025-05-30 05:03:45.216917,PKG9150,RFID-593438,PH Customs,Cleared customs,Cleared,2025-06-02,26.1
2025-05-26 08:03:45.216924,PKG3909,RFID-507278,In Transit - Air,Flight en route to PH,N/A,2025-05-28,18.3
2025-05-27 14:03:45.216931,PKG7362,RFID-645568,Pasig City Hub,Out for delivery,N/A,2025-05-28,28.4
2025-05-27 08:03:45.216938,PKG6363,RFID-588501,Shanghai Customs,Cleared customs,Cleared,2025-05-30,19.4
2025-05-26 15:03:45.216946,PKG9297,RFID-650287,"NAIA, Manila",Arrived in destination country,N/A,2025-05-29,20.3
2025-05-25 20:03:45.216953,PKG7978,RFID-505159,PH Customs,Under customs inspection,Pending,2025-05-26,21.4
2025-05-29 18:03:45.216960,PKG1458,RFID-934537,Pasig City,Delivered,N/A,2025-05-31,19.2
2025-05-30 04:03:45.216967,PKG3407,RFID-567725,"Shanghai, China",Departed from origin facility,N/A,2025-05-31,20.2
2025-05-28 21:03:45.216975,PKG3394,RFID-849502,"Shanghai, China",Departed from origin facility,N/A,2025-06-01,20.3
2025-05-27 15:03:45.216982,PKG3020,RFID-372562,"Shanghai, China",Departed from origin facility,N/A,2025-05-30,27.0
2025-05-26 17:03:45.216990,PKG8051,RFID-436263,PH Customs,Under customs inspection,Pending,2025-05-29,21.6
2025-05-27 03:03:45.216997,PKG6582,RFID-193678,Pasig City Hub,Out for delivery,N/A,2025-05-31,27.1
